"word","partOfSpeech","definition","exampleSentence","sourceGroup"
"parody","noun","a humorous invitation","The word parody refers to a humorous invitation, and that meaning fits the scene.","Unit 09"
"parsimony","noun","frugality, stinginess","The word parsimony refers to frugality, stinginess, and that meaning fits the scene.","Unit 22"
"partisan","adjective","tending to favor one group or one way of thinking","Someone who is partisan is tending to favor one group or one way of thinking, and the character seemed exactly that.","Unit 14"
"patent","adjective","readily seen or understood, clear","Someone who is patent is readily seen or understood, clear, and the character seemed exactly that.","Unit 19"
"pathology","noun","a deviation from the normal","The word pathology refers to a deviation from the normal, and that meaning fits the scene.","Unit 34"
"pathos","noun","an emotion of sympathy","The word pathos refers to an emotion of sympathy, and that meaning fits the scene.","Unit 22"
"patriarch","noun","the male head of a family","The word patriarch refers to the male head of a family, and that meaning fits the scene.","Unit 20"
"patron","noun","a customer","The word patron refers to a customer, and that meaning fits the scene.","Unit 36"
"patronize","verb","to treat someone as if they are not as intelligent or important","To patronize means to treat someone as if they are not as intelligent or important, so the group chose to patronize before the problem became worse.","Unit 39"
"paucity","noun","an insufficient quantity or number","The word paucity refers to an insufficient quantity or number, and that meaning fits the scene.","Unit 46"
"peculiar","adjective","Strange, bizarre","Someone who is peculiar is strange, bizarre, and the character seemed exactly that.","Unit 22"
"pedagogical","adjective","relating to education or teaching","Someone who is pedagogical is relating to education or teaching, and the character seemed exactly that.","Unit 10"
"pedantic","adjective","overly focused on small details while teaching or learning","Someone who is pedantic is overly focused on small details while teaching or learning, and the character seemed exactly that.","Unit 39"
"pejorative","adjective","derogatory, uncomplimentary","Someone who is pejorative is derogatory, uncomplimentary, and the character seemed exactly that.","Unit 19"
"pellucid","adjective","easily intelligible, clear","Someone who is pellucid is easily intelligible, clear, and the character seemed exactly that.","Unit 30"
"penchant","noun","a strong liking","The word penchant refers to a strong liking, and that meaning fits the scene.","Unit 45"
"penitent","adjective","feeling or expressing remorse for misdeeds","Someone who is penitent is feeling or expressing remorse for misdeeds, and the character seemed exactly that.","Unit 04"
"penultimate","adjective","next to last","Someone who is penultimate is next to last, and the character seemed exactly that.","Unit 16"
"penurious","adjective","extremely reluctant to spend money; stingy and frugal or extremely poor","Someone who is penurious is extremely reluctant to spend money; stingy and frugal or extremely poor, and the character seemed exactly that.","Unit 26"
"perfidious","adjective","tending to betray","Someone who is perfidious is tending to betray, and the character seemed exactly that.","Unit 29"
"perfunctory","adjective","showing little interest or enthusiasm","Someone who is perfunctory is showing little interest or enthusiasm, and the character seemed exactly that.","Unit 21"
"peril","noun","danger","The word peril refers to danger, and that meaning fits the scene.","Unit 17"
"perish","verb","To die; to pass away","To perish means to die; to pass away, so the group chose to perish before the problem became worse.","Unit 41"
"permeate","verb","to spread throughout, saturate","To permeate means to spread throughout, saturate, so the group chose to permeate before the problem became worse.","Unit 16"
"pernicious","adjective","exceedingly harmful","Someone who is pernicious is exceedingly harmful, and the character seemed exactly that.","Unit 24"
"perpetuate","verb","to cause to continue","To perpetuate means to cause to continue, so the group chose to perpetuate before the problem became worse.","Unit 28"
"perplex","verb","to puzzle or confuse","To perplex means to puzzle or confuse, so the group chose to perplex before the problem became worse.","Unit 31"
"perquisite","noun","a payment or benefit in addition to one's regular pay","The word perquisite refers to a payment or benefit in addition to one's regular pay, and that meaning fits the scene.","Unit 45"
"perspicacity","noun","intelligence manifested by being astute","The word perspicacity refers to intelligence manifested by being astute, and that meaning fits the scene.","Unit 14"
"pert","adjective","flippant, bold","Someone who is pert is flippant, bold, and the character seemed exactly that.","Unit 41"
"pertinacious","adjective","stubbornly persistent","Someone who is pertinacious is stubbornly persistent, and the character seemed exactly that.","Unit 37"
